
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002247                       # Number of seconds simulated (Second)
simTicks                                   2246972000                       # Number of ticks simulated (Tick)
finalTick                                  2246972000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     17.84                       # Real time elapsed on the host (Second)
hostTickRate                                125937685                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     781280                       # Number of bytes of host memory used (Byte)
simInsts                                      2145157                       # Number of instructions simulated (Count)
simOps                                        3757408                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   120230                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     210593                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu1.numCycles                         2221956                       # Number of cpu cycles simulated (Cycle)
system.cpu1.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu1.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu1.instsAdded                        4756949                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu1.nonSpecInstsAdded                    1953                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu1.instsIssued                       4372321                       # Number of instructions issued (Count)
system.cpu1.squashedInstsIssued                  3019                       # Number of squashed instructions issued (Count)
system.cpu1.squashedInstsExamined             1038178                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu1.squashedOperandsExamined          1630534                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu1.squashedNonSpecRemoved                249                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu1.numIssuedDist::samples            2111412                       # Number of insts issued each cycle
system.cpu1.numIssuedDist::mean              2.070804                       # Number of insts issued each cycle
system.cpu1.numIssuedDist::stdev             2.343975                       # Number of insts issued each cycle
system.cpu1.commit.committedInstType_0::FloatSqrt            0      0.00%     80.15% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdAdd         7494      0.20%     80.35% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdAddAcc            0      0.00%     80.35% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdAlu        13009      0.35%     80.70% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdCmp           12      0.00%     80.70% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdCvt        14812      0.40%     81.10% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdMisc         8047      0.22%     81.31% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdMult            0      0.00%     81.31% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdMultAcc            0      0.00%     81.31% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdShift         1750      0.05%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdShiftAcc            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdDiv            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdSqrt            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatAdd            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatAlu            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatCmp            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatCvt            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatDiv            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatMisc            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatMult            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatMultAcc            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdReduceAdd            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdReduceAlu            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdReduceCmp            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatReduceAdd            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatReduceCmp            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdAes            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdAesMix            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdSha1Hash            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdSha1Hash2            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdSha256Hash            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdSha256Hash2            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdShaSigma2            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdShaSigma3            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdPredAlu            0      0.00%     81.36% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::MemRead       491777     13.22%     94.58% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::MemWrite       164976      4.43%     99.01% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatMemRead        23004      0.62%     99.63% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatMemWrite        13795      0.37%    100.00% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::IprAccess            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::InstPrefetch            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::total      3720718                       # Class of committed instruction (Count)
system.cpu1.commit.commitEligibleSamples       210343                       # number cycles where commit BW limit reached (Cycle)
system.cpu1.dcache.demandHits::cpu1.data       671584                       # number of demand (read+write) hits (Count)
system.cpu1.dcache.demandHits::total           671584                       # number of demand (read+write) hits (Count)
system.cpu1.dcache.overallHits::cpu1.data       671584                       # number of overall hits (Count)
system.cpu1.dcache.overallHits::total          671584                       # number of overall hits (Count)
system.cpu1.dcache.demandMisses::cpu1.data        52672                       # number of demand (read+write) misses (Count)
system.cpu1.dcache.demandMisses::total          52672                       # number of demand (read+write) misses (Count)
system.cpu1.dcache.overallMisses::cpu1.data        52672                       # number of overall misses (Count)
system.cpu1.dcache.overallMisses::total         52672                       # number of overall misses (Count)
system.cpu1.dcache.demandMissLatency::cpu1.data   4273005998                       # number of demand (read+write) miss ticks (Tick)
system.cpu1.dcache.demandMissLatency::total   4273005998                       # number of demand (read+write) miss ticks (Tick)
system.cpu1.dcache.overallMissLatency::cpu1.data   4273005998                       # number of overall miss ticks (Tick)
system.cpu1.dcache.overallMissLatency::total   4273005998                       # number of overall miss ticks (Tick)
system.cpu1.dcache.demandAccesses::cpu1.data       724256                       # number of demand (read+write) accesses (Count)
system.cpu1.dcache.demandAccesses::total       724256                       # number of demand (read+write) accesses (Count)
system.cpu1.dcache.overallAccesses::cpu1.data       724256                       # number of overall (read+write) accesses (Count)
system.cpu1.dcache.overallAccesses::total       724256                       # number of overall (read+write) accesses (Count)
system.cpu1.dcache.demandMissRate::cpu1.data     0.072726                       # miss rate for demand accesses (Ratio)
system.cpu1.dcache.demandMissRate::total     0.072726                       # miss rate for demand accesses (Ratio)
system.cpu1.dcache.overallMissRate::cpu1.data     0.072726                       # miss rate for overall accesses (Ratio)
system.cpu1.dcache.overallMissRate::total     0.072726                       # miss rate for overall accesses (Ratio)
system.cpu1.dcache.demandAvgMissLatency::cpu1.data 81124.810108                       # average overall miss latency ((Cycle/Count))
system.cpu1.dcache.demandAvgMissLatency::total 81124.810108                       # average overall miss latency ((Cycle/Count))
system.cpu1.dcache.overallAvgMissLatency::cpu1.data 81124.810108                       # average overall miss latency ((Cycle/Count))
system.cpu1.dcache.overallAvgMissLatency::total 81124.810108                       # average overall miss latency ((Cycle/Count))
system.cpu1.dcache.blockedCycles::no_mshrs        17450                       # number of cycles access was blocked (Cycle)
system.cpu1.dcache.blockedCycles::no_targets          371                       # number of cycles access was blocked (Cycle)
system.cpu1.dcache.blockedCauses::no_mshrs          616                       # number of times access was blocked (Count)
system.cpu1.dcache.blockedCauses::no_targets            5                       # number of times access was blocked (Count)
system.cpu1.dcache.avgBlocked::no_mshrs     28.327922                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu1.dcache.avgBlocked::no_targets    74.200000                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu1.dcache.writebacks::writebacks         2910                       # number of writebacks (Count)
system.cpu1.dcache.writebacks::total             2910                       # number of writebacks (Count)
system.cpu1.dcache.demandMshrHits::cpu1.data        36099                       # number of demand (read+write) MSHR hits (Count)
system.cpu1.dcache.demandMshrHits::total        36099                       # number of demand (read+write) MSHR hits (Count)
system.cpu1.dcache.overallMshrHits::cpu1.data        36099                       # number of overall MSHR hits (Count)
system.cpu1.dcache.overallMshrHits::total        36099                       # number of overall MSHR hits (Count)
system.cpu1.dcache.demandMshrMisses::cpu1.data        16573                       # number of demand (read+write) MSHR misses (Count)
system.cpu1.dcache.demandMshrMisses::total        16573                       # number of demand (read+write) MSHR misses (Count)
system.cpu1.dcache.overallMshrMisses::cpu1.data        16573                       # number of overall MSHR misses (Count)
system.cpu1.dcache.overallMshrMisses::total        16573                       # number of overall MSHR misses (Count)
system.cpu1.dcache.demandMshrMissLatency::cpu1.data   1298307998                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu1.dcache.demandMshrMissLatency::total   1298307998                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu1.dcache.overallMshrMissLatency::cpu1.data   1298307998                       # number of overall MSHR miss ticks (Tick)
system.cpu1.dcache.overallMshrMissLatency::total   1298307998                       # number of overall MSHR miss ticks (Tick)
system.cpu1.dcache.demandMshrMissRate::cpu1.data     0.022883                       # mshr miss ratio for demand accesses (Ratio)
system.cpu1.dcache.demandMshrMissRate::total     0.022883                       # mshr miss ratio for demand accesses (Ratio)
system.cpu1.dcache.overallMshrMissRate::cpu1.data     0.022883                       # mshr miss ratio for overall accesses (Ratio)
system.cpu1.dcache.overallMshrMissRate::total     0.022883                       # mshr miss ratio for overall accesses (Ratio)
system.cpu1.dcache.demandAvgMshrMissLatency::cpu1.data 78338.743619                       # average overall mshr miss latency ((Cycle/Count))
system.cpu1.dcache.demandAvgMshrMissLatency::total 78338.743619                       # average overall mshr miss latency ((Cycle/Count))
system.cpu1.dcache.overallAvgMshrMissLatency::cpu1.data 78338.743619                       # average overall mshr miss latency ((Cycle/Count))
system.cpu1.dcache.overallAvgMshrMissLatency::total 78338.743619                       # average overall mshr miss latency ((Cycle/Count))
system.cpu1.dcache.replacements                 15506                       # number of replacements (Count)
system.cpu1.dcache.ReadReq.hits::cpu1.data       495072                       # number of ReadReq hits (Count)
